epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,87.8505,0.96497,1.8855,0.01259,0.67118,0.48483,0.7324,0.52238,1.69038,1.50918,0.01412,1.83646e-05,1.83646e-05,1.83646e-05
84,88.903,0.73055,0.95212,0.01126,0.93929,0.46694,0.7258,0.50893,1.72922,1.60391,0.01483,1.76107e-05,1.76107e-05,1.76107e-05
85,89.8412,0.8408,1.35696,0.00937,0.93929,0.46694,0.7258,0.50893,1.72922,1.60391,0.01483,1.68333e-05,1.68333e-05,1.68333e-05
86,90.8403,1.15118,1.98084,0.0222,0.93929,0.46694,0.7258,0.50893,1.72922,1.60391,0.01483,1.60323e-05,1.60323e-05,1.60323e-05
87,91.824,1.13214,1.27793,0.01371,0.93929,0.46694,0.7258,0.50893,1.72922,1.60391,0.01483,1.52077e-05,1.52077e-05,1.52077e-05
88,92.7836,1.02717,1.38569,0.01497,0.67733,0.48277,0.67794,0.46277,1.69259,1.72076,0.01423,1.43596e-05,1.43596e-05,1.43596e-05
89,93.7048,1.19055,1.61712,0.01693,0.67733,0.48277,0.67794,0.46277,1.69259,1.72076,0.01423,1.34879e-05,1.34879e-05,1.34879e-05
90,94.7918,0.8756,1.03466,0.00922,0.67733,0.48277,0.67794,0.46277,1.69259,1.72076,0.01423,1.25927e-05,1.25927e-05,1.25927e-05
91,95.6777,0.64948,0.48879,0.00915,0.67733,0.48277,0.67794,0.46277,1.69259,1.72076,0.01423,1.16739e-05,1.16739e-05,1.16739e-05
92,96.624,0.53686,0.52818,0.00586,0.62527,0.49021,0.67686,0.4763,1.83123,1.51833,0.01543,1.07315e-05,1.07315e-05,1.07315e-05
93,97.6194,0.91325,0.91454,0.01757,0.62527,0.49021,0.67686,0.4763,1.83123,1.51833,0.01543,9.76562e-06,9.76562e-06,9.76562e-06
94,98.5715,0.63107,0.50815,0.00633,0.62527,0.49021,0.67686,0.4763,1.83123,1.51833,0.01543,8.77613e-06,8.77613e-06,8.77613e-06
95,99.5424,1.17555,0.96311,0.02049,0.62527,0.49021,0.67686,0.4763,1.83123,1.51833,0.01543,7.76308e-06,7.76308e-06,7.76308e-06
96,100.578,0.80355,0.55281,0.01196,0.57068,0.49998,0.66363,0.47685,1.85842,1.46857,0.01636,6.72648e-06,6.72648e-06,6.72648e-06
97,101.47,0.64241,0.42721,0.00702,0.57068,0.49998,0.66363,0.47685,1.85842,1.46857,0.01636,5.6663e-06,5.6663e-06,5.6663e-06
98,102.39,0.78829,0.63522,0.01429,0.57068,0.49998,0.66363,0.47685,1.85842,1.46857,0.01636,4.58257e-06,4.58257e-06,4.58257e-06
99,103.252,0.83596,0.61765,0.00966,0.57068,0.49998,0.66363,0.47685,1.85842,1.46857,0.01636,3.47528e-06,3.47528e-06,3.47528e-06
100,104.285,0.65671,0.67455,0.00647,0.56912,0.50409,0.68394,0.49256,1.83179,1.47711,0.01563,2.34442e-06,2.34442e-06,2.34442e-06
